"3D Secure Status","3D Secure Status"
"Advanced Fraud","Advanced Fraud"
"Advanced Settings","Advanced Settings"
"Auth Code","Auth Code"
"Authorised amount of %1 Transaction ID: %2","Authorised amount of %1 Transaction ID: %2"
"AVS Address Result","AVS Address Result"
"AVS Postcode Result","AVS Postcode Result"
"Bad response received from gateway:","Bad response received from gateway:"
"Basic Settings","Basic Settings"
"Cancel","Cancel"
"Card details successfully and securely stored.","Card details successfully and securely stored."
"Card Number","Card Number"
"Card Type","Card Type"
"CVN Result","CVN Result"
"Cancelled order status","Cancelled order status"
"CAVV","CAVV"
"Chosen Payment Ref","Chosen Payment Ref"
"Country Specific Settings","Country Specific Settings"
"Decision Manager Fields","Decision Manager Fields"
"Decision Manager Profile","Decision Manager Profile"
"ECI","ECI"
"Empty response received from gateway","Empty response received from gateway"
"Enabled","Enabled"
"Environment","Environment"
"Fraud Filter Result","Fraud Filter Result"
"Fraud Mode","Fraud Mode"
"Fully 3D Secure","Fully 3D Secure"
"Gateway response:","Gateway response:"
"Gateway response does not have an order id.","Gateway response does not have an order id."
"Gateway response has an invalid order id.","Gateway response has an invalid order id."
"Gateway Request:","Gateway Request:"
"Iframe Enabled","Iframe Enabled"
"Iframe Mode","Iframe Mode"
"PAYCOMET Settings","PAYCOMET Settings"
"PAYCOMET Payment Gateway","PAYCOMET Payment Gateway"
"Advanced Settings","Advanced Settings"
"Country Specific Settings","Country Specific Settings"
"Payment Information","Payment Information"
"Place Order","Place Order"
"Invalid response received from gateway.","Invalid response received from gateway."
"Invoiced amount of %1 Transaction ID: %2","Invoiced amount of %1 Transaction ID: %2"
"Manage cards in My Account","Manage cards in My Account"
"Merchant 3D Secure","Merchant 3D Secure"
"Merchant Id","Merchant Id"
"Merchant Account","Merchant Account"
"Message","Message"
"New order status","New order status"
"Order Id","Order Id"
"OTB Enabled","OTB Enabled"
"Pas Ref","Pas Ref"
"Payment Button Text","Payment Button Text"
"Payment Form Language","Payment Form Language"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment Method","Payment Method"
"Paypal Allow Address Override","Paypal Allow Address Override"
"Paypal Pass Shipping Address","Paypal Pass Shipping Address"
"Please don\'t press the back button.","Please don\'t press the back button."
"PAYCOMET Payments","PAYCOMET Payments"
"Rebate Secret Key","Rebate Secret Key"
"Result","Result"
"Return Transaction Suitability Score","Return Transaction Suitability Score"
"Settle Mode","Settle Mode"
"Shared Secret Key","Shared Secret Key"
"Sub-Account","Sub-Account"
"The capture action failed","The capture action failed"
"The refund action failed","The refund action failed"
"The void action failed","The void action failed"
"Title","Title"
"Your cards were successfully stored.","Your cards were successfully stored."
"Your payment was successful.","Your payment was successful."
"XID","XID"
"Your payment was unsuccessful. Please try again or use a different card / payment method.","Your payment was unsuccessful. Please try again or use a different card / payment method."
"Token Card failed","Token Card failed"
"jetToken card failed","jetToken card failed"
"Status given to newly created orders before payment result is returned.","Status given to newly created orders before payment result is returned."
"Status given to orders when payment fails.","Status given to orders when payment fails."
"Iframe is displayed on the checkout page and contains the PAYCOMET Payments page. Otherwise it will redirect to the PAYCOMET Payments page for payment and return afterwards.","Iframe is displayed on the checkout page and contains the PAYCOMET Payments page. Otherwise it will redirect to the PAYCOMET Payments page for payment and return afterwards."
"Lightbox is a popup on the checkout page which contains the PAYCOMET Payments page in the box. Embedded is part of the checkout page.","Lightbox is a popup on the checkout page which contains the PAYCOMET Payments page in the box. Embedded is part of the checkout page."
"If you activate this option, you must contact PAYCOMET to enable the Advanced Signature VHASH.","If you activate this option, you must contact PAYCOMET to enable the Advanced Signature VHASH."
"Reduce the cost of PCI Compliance and risk of chargebacks with our fully customisable Hosted Checkout, Card Storage and Fraud Management solution with Magento 2. If you need a sandbox account please click <a href="https://www.paycomet.com/crear-una-cuenta">here</a>.","Reduce the cost of PCI Compliance and risk of chargebacks with our fully customisable Hosted Checkout, Card Storage and Fraud Management solution with Magento 2. If you need a sandbox account please click <a href="https://www.paycomet.com/crear-una-cuenta">here</a>."
"Accept credit/debit cards and others alternative payment methods in your Magento store.","Accept credit/debit cards and others alternative payment methods in your Magento store."
"These settings allow you to configure various options.","These settings allow you to configure various options."
